GP 17
Urban 15
Living-Together 16
Mothers-Education 16
Fathers-Education 11
Moms-Job 16
Fathers-Job 8
Reason-for-School 17
Guardian 17
Travel-Time 17
Study-Time 11
Classes-Failed 17
Extra-School-Support 0
Family-Educational-Support 10
Paid-Extra-Classes 8
Extra-Curriculars 10
Nursery-School 17
Wants-Higher-Education 18
Internet-Access 16
Romantic-Relationship 1
Good-Family-Relationships 18
Free-time 12
Going-out-with-friends 5
Workday-Alcohol-Consumption 18
Weekend-Alcohol-Cosumtion 4
Health 10
Absences 15    
